activityYear,activityMonth,sum
2012,9,55.51
2012,10,255.14000000000001
2013,2,56.55
2013,3,223.19000000000003
2013,5,113.07000000000001
2013,12,135.26
2014,1,131.23
2014,3,293.24
2014,4,416.72
2014,5,139.09
2014,8,112.54
2014,9,179.47
2014,10,400.55999999999995
2014,11,453.15999999999997
2014,12,398.9
2015,1,233.77999999999997
2015,2,205.08
2015,3,43.41
2015,4,72.53
2015,6,109.89
2015,7,875.7099999999998
2015,8,1237.2200000000003
2015,9,842.27
2015,10,1907.78
2015,11,1821.3000000000002
2015,12,1620.5999999999997
2016,1,1276.97
2016,2,2250.89
2016,3,1672.0300000000002
2016,4,2237.2399999999993
2016,5,2067.8199999999997
2016,6,1254.8899999999999
2016,7,1756.95
2016,8,792.3599999999997
2016,9,720.09
2016,10,962.9099999999999
2016,11,400.62
2016,12,1035.37
2017,1,1311.6499999999996
2017,2,650.2800000000001
2017,3,331.59000000000003
2017,4,195.58999999999997
